,areaWithType,area_sqft,transaction,status,property_floor,total_floor,furnishing,facing,price_per_sqft,price_Lac,property_name,description,floor_ratio,price_area_ratio,furnishing_facing
0,1.0,644.0,0.0,0.0,6.0,11.0,2.0,7.0,2891.0,33.8,2 BHK Apartment for Sale in Dindoli Surat,"Luxury project with basement parking, Solar rooftop, Gym, Build with advanced machinery and standard materials that last long. Best project for under construction scheme for a happy family life.Read more",0.5454545454545454,0.05248447204968944,14.0
1,3.0,1278.0,0.0,0.0,7.0,15.0,2.0,6.0,3551.0,45.4,2 BHK Apartment for Sale in Althan Surat,2 And 3 BHK Luxurious Flat for Sell In New Althan Area With All Aminities .Read more,0.4666666666666667,0.035524256651017216,12.0
2,3.0,1173.0,1.0,1.0,6.0,14.0,1.0,0.0,3800.0,44.6,2 BHK Apartment for Sale in Pal Gam Surat,"This affordable 2 BHK flat is situated along a 200foot road, ensuring easy access and connectivity. Enjoy the convenience of a prime location at a budgetfriendly price. Additionally, it is ready to move in, offering immediate occupancy for your convenience. With a towering 19floor height, it provides impressive views and a sense of elevation.Read more",0.42857142857142855,0.03802216538789429,0.0
3,1.0,700.0,0.0,1.0,7.0,15.0,2.0,0.0,3966.0,47.0,2 BHK Apartment for Sale in Jahangirabad Surat,2 BHK Flat For sell IN Jahangirabad Prime Location,0.4666666666666667,0.06714285714285714,0.0
4,3.0,1250.0,0.0,2.0,4.0,5.0,2.0,8.0,3600.0,45.0,"2 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat","Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 1250.0  Sq-ft. This property belongs to ""Orchid Fantasia"" .Read more",0.8,0.036,16.0
5,3.0,1265.0,0.0,0.0,3.5,8.5,2.0,8.0,3411.0,43.2,"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat","Multistorey Apartment for Sale in Jahangirabad, Surat. Covered area is 1265.0  Sq-ft. This property belongs to ""Anand Aspire"" .Read more",0.4117647058823529,0.0341501976284585,16.0
6,1.0,1404.0,0.0,0.0,5.0,5.5,2.0,0.0,3387.0,42.1,3 BHK Villa for Sale in Dindoli Surat,contraction,0.9090909090909091,0.029985754985754988,0.0
7,1.0,700.0,0.0,0.0,8.0,11.0,3.0,8.0,3392.0,44.1,  Office Space for Sale in Vesu Surat,"best commercial for business ,investors ,businesses man",0.7272727272727273,0.063,24.0
8,3.0,1180.0,0.0,2.0,9.0,10.5,2.0,8.0,3751.0,44.3,"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat","Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 1180.0  Sq-ft. This property belongs to ""Orchid Gardenia"" .Read more",0.8571428571428571,0.03754237288135593,16.0
9,1.0,720.0,0.0,0.0,4.0,15.0,2.0,0.0,3200.0,40.0,2 BHK Apartment for Sale in Palanpur Surat,"Irrespective of the business branch, the our group believes in, and follows a singular philosophicalRead more",0.26666666666666666,0.05555555555555555,0.0
10,1.0,748.0,0.0,0.0,7.0,14.0,2.0,0.0,3235.0,44.0,2 BHK Apartment for Sale in Jahangirabad Surat,next to Canezaa theater near new d mart location a very anchor location and full of amenities with very simple payment conditionsRead more,0.5,0.058823529411764705,0.0
